holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume,month
None,288.28,0.0,0.0,40,Clouds,scattered clouds,2012-10-02 09:00:00,5545,10
None,289.36,0.0,0.0,75,Clouds,broken clouds,2012-10-02 10:00:00,4516,10
None,289.58,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 11:00:00,4767,10
None,290.13,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 12:00:00,5026,10
None,291.14,0.0,0.0,75,Clouds,broken clouds,2012-10-02 13:00:00,4918,10
None,291.72,0.0,0.0,1,Clear,sky is clear,2012-10-02 14:00:00,5181,10
None,293.17,0.0,0.0,1,Clear,sky is clear,2012-10-02 15:00:00,5584,10
None,293.86,0.0,0.0,1,Clear,sky is clear,2012-10-02 16:00:00,6015,10
None,294.14,0.0,0.0,20,Clouds,few clouds,2012-10-02 17:00:00,5791,10
None,293.1,0.0,0.0,20,Clouds,few clouds,2012-10-02 18:00:00,4770,10
None,290.97,0.0,0.0,20,Clouds,few clouds,2012-10-02 19:00:00,3539,10
None,289.38,0.0,0.0,1,Clear,sky is clear,2012-10-02 20:00:00,2784,10
None,288.61,0.0,0.0,1,Clear,sky is clear,2012-10-02 21:00:00,2361,10
None,287.16,0.0,0.0,1,Clear,sky is clear,2012-10-02 22:00:00,1529,10
None,285.45,0.0,0.0,1,Clear,sky is clear,2012-10-02 23:00:00,963,10
None,284.63,0.0,0.0,1,Clear,sky is clear,2012-10-03 00:00:00,506,10
None,283.47,0.0,0.0,1,Clear,sky is clear,2012-10-03 01:00:00,321,10
None,281.18,0.0,0.0,1,Clear,sky is clear,2012-10-03 02:00:00,273,10
None,281.09,0.0,0.0,1,Clear,sky is clear,2012-10-03 03:00:00,367,10
None,279.53,0.0,0.0,1,Clear,sky is clear,2012-10-03 04:00:00,814,10
None,278.62,0.0,0.0,1,Clear,sky is clear,2012-10-03 05:00:00,2718,10
None,278.23,0.0,0.0,1,Clear,sky is clear,2012-10-03 06:00:00,5673,10
None,278.12,0.0,0.0,1,Clear,sky is clear,2012-10-03 08:00:00,6511,10
None,282.48,0.0,0.0,1,Clear,sky is clear,2012-10-03 09:00:00,5471,10
None,291.97,0.0,0.0,1,Clear,sky is clear,2012-10-03 12:00:00,5097,10
None,293.23,0.0,0.0,1,Clear,sky is clear,2012-10-03 13:00:00,4887,10
None,294.31,0.0,0.0,1,Clear,sky is clear,2012-10-03 14:00:00,5337,10
None,295.17,0.0,0.0,1,Clear,sky is clear,2012-10-03 15:00:00,5692,10
None,295.13,0.0,0.0,1,Clear,sky is clear,2012-10-03 16:00:00,6137,10
None,293.66,0.0,0.0,20,Clouds,few clouds,2012-10-03 18:00:00,4623,10
None,290.65,0.0,0.0,20,Clouds,few clouds,2012-10-03 19:00:00,3591,10
None,288.19,0.0,0.0,20,Clouds,few clouds,2012-10-03 20:00:00,2898,10
None,287.1,0.0,0.0,1,Clear,sky is clear,2012-10-03 21:00:00,2637,10
None,286.25,0.0,0.0,1,Clear,sky is clear,2012-10-03 22:00:00,1777,10
None,285.26,0.0,0.0,1,Clear,sky is clear,2012-10-03 23:00:00,1015,10
None,284.55,0.0,0.0,1,Clear,sky is clear,2012-10-04 00:00:00,598,10
None,283.47,0.0,0.0,1,Clear,sky is clear,2012-10-04 01:00:00,369,10
None,283.17,0.0,0.0,1,Clear,sky is clear,2012-10-04 02:00:00,312,10
None,282.04,0.0,0.0,1,Clear,sky is clear,2012-10-04 03:00:00,367,10
None,281.69,0.0,0.0,1,Clear,sky is clear,2012-10-04 04:00:00,835,10
None,281.32,0.0,0.0,1,Clear,sky is clear,2012-10-04 05:00:00,2726,10
None,280.74,0.0,0.0,1,Clear,sky is clear,2012-10-04 06:00:00,5689,10
None,280.57,0.0,0.0,1,Clear,sky is clear,2012-10-04 07:00:00,6990,10
None,281.86,0.0,0.0,1,Clear,sky is clear,2012-10-04 08:00:00,5985,10
None,284.98,0.0,0.0,1,Clear,sky is clear,2012-10-04 09:00:00,5309,10
None,289.18,0.0,0.0,1,Clear,sky is clear,2012-10-04 10:00:00,4603,10
None,291.55,0.0,0.0,1,Clear,sky is clear,2012-10-04 11:00:00,4884,10
None,294.97,0.0,0.0,1,Clear,sky is clear,2012-10-04 12:00:00,5104,10
None,296.38,0.0,0.0,1,Clear,sky is clear,2012-10-04 13:00:00,5178,10
None,297.32,0.0,0.0,1,Clear,sky is clear,2012-10-04 14:00:00,5501,10
None,298.17,0.0,0.0,1,Clear,sky is clear,2012-10-04 15:00:00,5713,10
None,298.06,0.0,0.0,20,Clouds,few clouds,2012-10-04 16:00:00,6292,10
None,297.67,0.0,0.0,20,Clouds,few clouds,2012-10-04 17:00:00,6057,10
